query,relevant_doc_id
till krech + javascript for in statement + linux,0
javascript for in statement issue + till krech + linux,0
Darrell Kindred bugs table layout,1
WIDTH=300 on outer table,1
site:mozilla.org 'table' search,2
filetype:txt 'foobar baz qux' site:cs.cmu.edu,2
"msuencks@marcant.de April 7, 1998",3
"nisheeth@netscape.com April 22, 1998",3
"Find the file ugendata.c in mozilla-orig/ns/lib/libi18n/ and check for changes made on April 1, 1998",4
Look for mentions of 'KOI8' in the ugendata.c file and identify the specific line numbers affected by the change,4
site:mozilla.org 'seg fault' AND 'default value of TEXTAREA field',5
site:cs.cmu.edu 'javascript code' AND 'reproducible seg fault' AND 'TEXTAREA field',5
Find all occurrences of 'JSSavedState' and 'JSString' in the jsstubs.c file,6
"Search for all lines containing '#ifdef JAVA' or '#endif' after April 12, 1998",6
Dan McGuirk mcguirk@indirect.com April 13 1998 net_CleanupMailtoStub,7
mcguirk@indirect.com April 13 1998 XP_ASSERT(0) unimplemented function,7
site:uni.de Holger Hippenstiel 'javascript doesnt work anymore',8
site:uni.de 'AppletContext is there' AND 'java.awt.*' OR 'java.applet.*',8
"site:cfar.umd.edu ""windows-1250""",9
"site:cfar.umd.edu ""Mozilla"" AND ""Latin 1 fonts""",9
site:wwwkoi.nsk.su 'Navigator opens a lot of message boxes',10
site:wwwkoi.nsk.su '120th' AND 'Fixed in last build',10
What is the behavior of the back button on the current system regarding hidden fields?,11
Why are hidden fields reset when navigating back in the system?,11
Find all occurrences of 'iostream.h' in the codebase and mark as outdated,12
Identify the source file where 'iostream.h' was replaced with 'sys/stream.h',12
site:netscape.com 'Windows95 registry' AND (menu open time OR submenu delay),13
site:netscape.com 'OS integration enhancement' AND (submenu delay OR menu performance),13
site:acorn.co.uk jsapi.c,14
filetype:txt 'js_MaybeGC',14
net_GetFilenameInCacheDBT returns incorrect relative pathname,15
net_cache_recursive_file_finder doesn't work correctly when base_dir doesn't end with '/',15
"""berkley"" AND ""NULL"" AND ""constructors""",16
"""#define NULL 0L""",16
Find all occurrences of 'XFE_PopupMenu' and 'EditorFrame.cpp' in the codebase and return a list of lines where errors are reported,17
Search for instances of 'new XFE_PopupMenu' and 'new XFE_EditorView' in EditorFrame.cpp and provide the surrounding context,17
site:cs.wustl.edu berkley@cs.wustl.edu EditorView.cpp diff,18
mozilla/cmd/xfe/src/EditorView.cpp set_font_size_params[i].data,18
site:cs.wustl.edu berkley@cs.wustl.edu HistoryView.cpp,19
filetype:c++ mozilla/cmd/xfe/HistoryView.cpp,19
site:waider.ie forms.c diff -c -r3.2,20
site:waider.ie 'text_attr->charset' || 'fe_font',20
jsmath.c: In function `random_init';,21
gcc -Wall -Wno-format warning,21
Find all instances where 'goSubmit' is not defined in the codebase,22
Identify the duplicate bug report with ID 415 and its associated details,22
site:hotoffice.com 'goSubmit not defined' AND 'JavaScript Error',23
site:hotoffice.com 'writeToStatus not defined' AND 'ASP desktop.asp line 213',23
"""<select> tag"" AND ""background color""",24
"""<select> tag"" AND ""menu not changing color""",24
How to handle page faults in Netscape with embedded objects,25
PowerBuilder dynamic library issues with Netscape embed object,25
Netscape Communicator GPF KERNEL32.DLL error,26
Communicator crash on startup with invalid page fault in KERNEL32.DLL,26
PowerBuilder plugin issue June 1998,27
Netscape Communicator compatibility problem with PowerBuilder plugin,27
site:gadgetguru.com 'mod_speling' AND 'MTop.gif' NOT (Apache) AND 'tomorrow's build' NOT (today),28
site:gadgetguru.com 'mod_speling' AND 'broken image icon' AND 'incorrectly referenced on the page',28
site:writeme.com 'anonymous FTP login' AND site:mozilla.org,29
site:netscape.com 'browser pref' AND site:ie.org,29
site:big.ac.at 'netscape registry LOCAL_MACHINE',30
site:schiller.big.ac.at 'Netscape profile storage',30
site:ericsson.se 'OnKeyUp event' AND (Communicator 4.03 OR Communicator 5.0),31
site:ericsson.se 'javascript code OnKeyUp event' AND (input OR textarea) AND (alert(Link got an event),31
Find all instances of cp1252_to_iso8859_1 array in mozilla/lib/libi18n/sbconvtb.c,32
Search for the ? character mapping issue in mozilla/lib/libi18n/sbconvtb.c,32
netlib issue mkftp.c,33
unused function call in network/protocol/ftp/mkftp.c,33
"What is the font stack implementation in Netscape's document display, and how does it affect attribute changes?",34
How can overlapping font attributes be handled in the Font Stack of Netscape's browser?,34
Find undefined references in prlink.c,35
Undefined references in libnspr21.a,35
site:mozilla.org bug 1234567 'Show' button length issue,36
site:netscape.com 'length of text field string hello' bug report,36
torsten@ponton-hamburg.de July 13 1998 floating point exception,37
jsapi.c line 1184 JSDOUBLE_IS_NaN NaN,37
"site:knipp.de Klaus.Malorny July 16, 1998 (Composer creates line breaks)",38
site:knipp.de Klaus.Malorny lib/layout/edtele.cpp lines 6842,38
site:michiel.trimpe@dse.nl July 17 1998 left table align=left height issue,39
filetype:bug Michiel Trimpe alignment left table height issue,39
"site:techempower.com 'unhandled exception in netscape.exe' July 23, 1998",40
site:techempower.com 'JS3240.DLL' + Netscape Navigator 4.05,40
suneetha yerneni netscape applet resource usage,41
netscape browser system resource leak,41
site:eng.iastate.edu djschaap* bookmark permission issue,42
NFS Linux directory permissions Mozilla Netscape,42
win95 machine color graphics residue,43
win95 machine page load animation issues,43
site:bug report 'arrows' AND site:bug report 'tab',44
site:bug report 'page up' OR site:bug report 'page down',44
Enable redirects in banner ads,45
Redirects for top sites,45
site:msdn.microsoft.com 'blank line' AND site:msdn.microsoft.com 'article at' AND site:msdn.microsoft.com 'http://www.microsoft.com/presspass/features/7-23realnet.htm',46
site:scopus.com bugsplat login issues,47
scopus bugsplat login failure,47
site:bug report 'memory dump' webshell,48
site:bug report 'scrambled cable tv station',48
net_parse_http_mime_headers function,49
NET_SetCookieStringFromHttp function,49
beep on return press in url bar,50
auditorily endowed machine beeping issue,50
font variation detection in text,51
identify specific fonts used in a given paragraph,51
Crash on mouseover of content elements in release builds,52
Mouseover crash issue in release builds,52
site:github.com bug report 'LINK tag',53
"site:stackoverflow.com search is ""LOADING"" style sheets",53
site:github.com kipp html parsing whitespace,54
site:github.com rickg html parsing issues,54
How to handle STRONG tags in the parser?,55
Why are STRONG tags being ignored in the current implementation?,55
What is the CSS code for making a link active,56
How to change the color of a link on mouse down,56
css P:first-line color,57
get first line of paragraph in css,57
content model api not implemented,58
style issue similar to bug 311767,58
css sample html bug report url,59
test case url bug report,59
support cursive and fantasy fonts,60
libfont usage in raptor,60
font-family serif issue in div class a,61
monospace font fallback not working,61
css line-height property,62
vertical spacing in css content model,62
site:bug report 'justified text',63
site:bug report 'whitespace work' OR 'style issue',63
mixed style list items,64
list styling issue with ol and li elements,64
kipp update li element,65
peterl style hook up,65
Stack trace:; ; NTDLL! 77f76148(); nsDebug::NotYetImplemented(char * 0x0054c624; char * 0x0054c5f0; int 434) line; 105,66
nsDebug::NotYetImplemented() function call with parameters,66
form submission with single text field and Enter key press,67
single text input form not submitting on Enter key press,67
BUG report crash nsFrame::DisplaySelection line 487,68
nsGUIEvent * 0x0012f308; nsEventStatus & nsEventStatus_eIgnore,68
nsFrame::DisplaySelection failure with target=_top,69
nsWindow crash on focus event,69
ReflowFrame nsCSSInlineLayout::ReflowFrame(nsIFrame * 0x0113c8a0; nsReflowMetrics & {...};; const nsReflowState & {...}; int & 2),70
nsCSSBlockFrame::ReflowAround(nsCSSBlockFrame * const 0x013bf2c0; nsIPresContext; & {...}; nsISpaceManager * 0x013be780; nsReflowMetrics & {...}; const; nsReflowState & {...}; nsRect & {...}; unsigned int & 0),70
Search for 'joke' in bug report,71
Find scrolling functionality in bug report,71
site:www.cbs.com 'hangs immediately',72
cbs.com hang* (return),72
site:ftp.netscape.com 'pub' AND site:ftp.netscape.com 'pub' -inurl:ftp,73
site:ftp.netscape.com 'pub' OR site:ftp.netscape.com 'pub' -inurl:ftp,73
eTrade login issue with username/password,74
username/password input field not working in eTrade account,74
Pass attribute values to individual frames in document rendering,75
Handle framed documents with custom margin settings,75
Is there a known issue with the 'putting' keyword in bug reports?,76
Can you verify if the 'bugsplat' library is being used correctly?,76
crash on form control focus with document switch,77
viewer crashes when switching between framesets,77
site:bugtracker 'quicktime movie' AND 'Alice' RIGHT,78
site:bugtracker 'Raptor plugin' AND 'Alice' LEFT,78
"site:github.com bug report ""align=middle"" and not ""vertical alignment""",79
"site:github.com search ""busted"" in:file",79
bug report: 'not yet implemented' and (frameborder or border) and not iframe,80
find all occurrences of 'www.stocksite.com' in bug report,80
frame resizing issue when dragging border,81
dragging frame border not resizing,81
"Find all occurrences of 'if' statements and 'links' in the codebase, specifically within the new selection code",82
Search for the exact phrase 'stopped working based on an if statement' in the code comments or logs,82
site:github.com 'hook up' AND (editor mode OR JS console) AND menu item,83
site:github.com 'move back' AND (debug only code OR editor mode and JS console),83
find all outdated bug reports with content 'too old to be useful',84
get recent bug reports containing the phrase 'too old to be useful',84
site:github.com bug report 'too old to be useful' selection reworked,85
site:github.com 'completely reworked' selection too old to be useful,85
nsPresShell.cpp hack event handling,86
stability release nsPresShell.cpp,86
